blockname,event_id_ttl,event_id_char,event_ts,event_number
2022_06_10_abb12,PC0,lick,377.7842381,181
2022_06_10_abb12,PC0,lick,377.8848358,182
2022_06_10_abb12,PC0,lick,378.008535,183
2022_06_10_abb12,PC0,lick,378.1319066,184
2022_06_10_abb12,PC0,lick,378.2593741,185
2022_06_10_abb12,PC0,lick,378.3794688,186
2022_06_10_abb12,PC0,lick,378.5107046,187
2022_06_10_abb12,PC0,lick,378.6265395,188
2022_06_10_abb12,PC0,lick,378.7345101,189
2022_06_10_abb12,PC0,lick,378.8624691,190
2022_06_10_abb12,PC0,lick,378.9819085,191
2022_06_10_abb12,PC0,lick,379.1057715,192
2022_06_10_abb12,PC0,lick,379.2289792,193
2022_06_10_abb12,PC0,lick,379.3526784,194
2022_06_10_abb12,PC0,lick,379.4801459,195
2022_06_10_abb12,PC0,lick,379.7318042,196
2022_06_10_abb12,PC0,lick,379.8550118,197
2022_06_10_abb12,PC0,lick,391.4666803,198
2022_06_10_abb12,PC0,lick,391.5941478,199
2022_06_10_abb12,PC0,lick,391.713751,200
2022_06_10_abb12,PC0,lick,391.8295859,201
2022_06_10_abb12,PC0,lick,391.953449,202
2022_06_10_abb12,PC0,lick,392.3083264,203
2022_06_10_abb12,PC0,lick,392.4361216,204
2022_06_10_abb12,PC0,lick,403.9724237,205
2022_06_10_abb12,PC0,lick,404.455424,206
2022_06_10_abb12,PC0,lick,404.8374989,207
2022_06_10_abb12,PC0,lick,404.9536614,208
2022_06_10_abb12,PC0,lick,405.1002982,209
2022_06_10_abb12,PC0,lick,405.1968,210
2022_06_10_abb12,PC0,lick,405.3552333,211
2022_06_10_abb12,PC0,lick,405.451735,212
2022_06_10_abb12,PC0,lick,405.5795302,213
2022_06_10_abb12,PC0,lick,405.7109299,214
2022_06_10_abb12,PC0,lick,405.8424934,215
2022_06_10_abb12,PC0,lick,405.9732378,216
2022_06_10_abb12,PC0,lick,406.1126656,217
2022_06_10_abb12,PC0,lick,406.2514381,218
2022_06_10_abb12,PC0,lick,406.3946342,219
2022_06_10_abb12,PC0,lick,406.5298022,220
2022_06_10_abb12,PC0,lick,406.676439,221
2022_06_10_abb12,PC0,lick,418.4462131,222
2022_06_10_abb12,PC0,lick,418.5812173,223
